ID,Name,Pos,League,Team,Org,LgLvl,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Acc,Ovr,Pot
54157,"Cheong-woo Kim",SP,0,0,0,0,25,193,S,R,35,35,25,40,35,30,35,35,25,40,35,30,35,35,30,40,35,30,35,35,25,40,40,30,30,30,35,25,25,40,30,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,25,20,30,65,25,45,35,30,45,20,45,35,30,45,20,40,30,30,45,20,50,35,35,45,20,92-94,38,55,40,50,0,0,0,0,45,50,0,0,0,0,0,50,0,0,0,0,55,70,0,0,0,0,0,N,N,N,N,N,VH,30,30
54158,"Ismael Oviedo",RP,204,53,28,2,25,198,R,R,30,30,20,45,35,30,30,30,20,45,35,30,30,30,20,45,35,30,40,30,20,45,40,35,30,30,55,20,50,30,30,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,40,30,30,25,60,25,45,45,45,45,55,45,45,45,45,55,45,45,45,45,55,45,45,45,45,55,93-95,52,50,60,45,0,0,0,45,35,45,0,0,0,0,0,45,0,0,0,50,45,55,0,0,0,0,0,H,N,L,N,L,VH,40,40
54159,"David Salgado",SP,0,0,0,0,25,190,R,L,30,30,20,35,30,30,30,30,20,35,30,30,30,30,20,35,30,30,35,30,25,40,35,30,30,35,30,20,45,30,30,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,25,20,40,20,40,40,40,40,25,40,40,40,40,25,40,40,40,45,25,45,45,45,40,30,94-96,49,45,55,45,35,0,45,45,45,0,0,0,0,0,0,50,45,0,50,45,45,0,0,0,0,0,0,N,N,N,N,N,VH,30,30
54162,"Cristobal Pacheco",SP,0,0,0,0,25,186,R,R,40,35,20,40,40,40,40,35,20,40,40,40,40,35,20,40,40,40,40,35,20,40,40,45,30,25,40,20,45,25,30,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,20,20,20,75,30,45,35,35,40,25,45,35,35,40,25,45,35,35,40,25,45,40,35,40,25,96-98,47,50,45,55,0,0,45,45,30,40,0,0,0,0,0,55,0,0,45,45,30,40,0,0,0,0,0,N,N,N,N,N,VH,30,30
54164,"Min-hwi Kim",SP,0,0,0,0,25,195,L,R,45,35,25,45,40,45,45,35,25,45,40,45,45,35,25,45,40,45,45,35,25,45,40,45,30,35,40,20,30,35,30,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,30,20,35,65,20,35,45,45,45,50,35,45,45,45,50,35,45,45,45,50,35,45,45,45,50,89-91,38,55,60,35,0,0,0,0,45,45,0,0,0,0,0,35,0,0,0,0,45,45,0,0,0,0,0,N,N,N,H,N,VH,35,35
54165,"Jung-jun Hong",RF,202,12,12,1,25,193,R,L,50,45,40,45,50,50,50,45,40,45,50,50,50,45,40,45,50,50,60,50,40,55,65,55,30,25,30,20,45,35,50,20,20,20,0,0,35,0,0,0,30,0,40,0,0,35,0,0,0,45,0,40,35,40,45,35,50,20,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,30,25,35,20,83-85,43,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,L,N,VH,40,45
54166,"Juan Mercs",SP,0,0,0,0,25,191,R,R,45,35,25,35,45,45,45,35,25,35,45,45,45,35,25,35,45,45,45,35,25,35,45,45,35,25,35,20,55,25,35,20,20,20,45,0,0,0,0,0,0,0,30,45,0,0,0,0,0,0,0,35,35,25,20,20,40,30,45,45,45,45,20,45,45,45,45,20,45,45,45,45,20,50,45,45,45,20,94-96,44,45,50,60,0,0,0,0,30,45,0,0,0,0,0,65,0,0,0,0,55,50,0,0,0,0,0,N,N,H,H,N,VH,30,30
54167,"Juan Maldondo",RP,207,82,13,3,25,180,R,R,35,30,25,30,35,35,35,30,25,30,35,35,35,30,25,30,35,35,40,30,25,35,40,40,30,35,45,25,35,25,35,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,20,20,35,50,20,55,40,35,45,45,55,40,35,45,45,55,40,35,45,45,60,40,35,45,45,94-96,47,25,25,70,0,0,70,65,35,0,0,0,0,0,0,75,0,0,70,70,45,0,0,0,0,0,0,N,N,H,H,H,VH,40,40
54169,"Dong-hwan Kim",SP,0,0,0,0,25,206,R,R,20,30,20,30,20,20,20,30,20,30,20,20,20,30,20,30,20,20,20,30,20,30,20,20,30,30,55,20,30,35,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,20,25,20,55,25,45,40,40,50,45,45,40,40,50,45,45,40,40,50,45,50,40,40,50,45,95-97,46,40,75,70,0,50,0,0,35,0,0,0,0,0,0,75,0,65,0,0,50,0,0,0,0,0,0,N,N,N,N,N,VH,40,40
54173,"Santiago Orozco",SP,0,0,0,0,25,206,L,R,35,30,20,35,35,35,35,30,20,35,35,35,35,30,20,30,35,35,45,35,20,35,40,45,35,30,45,25,40,40,45,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,35,25,20,30,40,25,40,40,40,45,40,40,45,40,45,40,40,40,40,45,40,50,45,50,45,45,94-96,60,45,50,45,40,0,0,0,25,0,0,0,0,0,0,70,55,0,0,0,55,0,0,0,0,0,0,N,N,N,N,N,VH,30,40
54176,"Rogelio Zaragoza",3B,207,195,17,3,25,186,S,R,45,40,50,35,45,40,45,40,50,35,45,40,45,45,50,35,45,40,50,40,50,35,55,45,50,55,65,45,35,40,65,20,20,20,0,0,0,35,55,40,0,0,0,0,0,0,50,55,45,0,0,0,30,25,20,20,45,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,25,25,30,20,85-87,41,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,VH,35,40
54177,"Jesus Romero",CF,0,0,0,0,25,188,R,R,45,45,35,50,45,50,45,45,35,50,45,50,50,45,35,50,50,50,50,50,35,50,50,50,30,35,35,30,60,50,40,20,20,20,0,0,0,0,0,0,60,45,50,0,0,0,0,0,0,60,45,50,55,40,30,20,50,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,25,20,30,25,84-86,42,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,VH,35,40
54178,"Alexis Hernande",RF,0,0,0,0,25,189,L,L,45,40,20,50,45,45,45,40,20,50,45,45,45,40,20,50,45,40,50,45,25,50,60,45,30,25,50,20,45,50,35,20,20,20,0,0,35,0,0,0,40,0,35,0,0,35,0,0,0,45,0,35,30,40,35,50,55,35,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,30,30,30,20,80-83,60,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,N,VH,35,35
54179,"Jesus Herrera",1B,0,0,0,0,25,185,L,R,40,40,45,45,35,40,40,40,45,45,35,40,40,40,45,40,35,40,45,40,50,50,40,45,50,35,50,50,45,50,45,20,20,20,0,0,50,0,35,30,20,0,0,0,0,60,0,40,35,45,0,0,50,25,20,40,35,20,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,25,20,35,20,85-87,38,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,VH,35,40
54182,"Fidel Liriano",RF,202,10,10,1,25,184,R,R,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,55,50,50,50,50,40,40,45,55,60,60,20,20,20,0,0,0,0,30,30,65,35,60,0,0,0,0,30,30,65,40,60,65,55,50,55,50,25,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,30,30,35,20,84-86,42,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,L,N,VH,45,45
54185,"Nelson Garnica",RP,0,0,0,0,25,185,L,R,35,30,20,30,35,35,35,30,20,30,35,35,35,30,20,30,35,35,40,35,20,35,40,45,30,35,50,30,35,30,35,20,20,25,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,20,20,20,20,35,20,40,40,40,35,35,40,40,40,35,35,40,40,40,35,35,40,40,40,35,35,91-93,59,40,30,40,0,0,0,0,25,35,0,0,0,0,0,40,0,0,0,0,30,35,0,0,0,0,0,N,N,N,N,N,VH,30,30
54189,"Luis del Valle",C,0,0,0,0,25,186,S,R,35,30,25,30,45,25,35,30,25,30,45,25,35,30,25,30,45,25,35,30,25,30,45,30,30,30,45,25,25,25,45,40,50,40,0,30,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,25,30,25,20,55,25,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,25,20,30,20,84-86,39,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,N,VH,25,25
54190,"Nicolo Gioacchini",SP,0,0,0,0,25,197,S,R,35,30,20,35,35,40,35,30,20,35,35,40,35,30,20,35,35,40,40,35,20,35,40,40,35,30,40,20,35,25,20,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,25,25,30,65,20,40,40,40,40,35,40,40,40,40,35,40,40,40,40,35,45,40,40,40,35,91-93,53,35,60,40,0,0,40,0,30,45,0,0,0,0,0,45,0,0,45,0,45,45,0,0,0,0,0,N,L,N,N,L,VH,30,30
54191,"Manol Kreth",CF,0,0,0,0,25,186,R,L,40,40,45,40,40,45,40,40,40,40,40,45,40,40,45,40,40,45,45,45,50,40,40,45,30,35,20,20,60,40,45,20,20,20,0,0,0,0,0,0,65,45,35,0,0,0,0,0,0,65,45,55,75,70,60,60,45,45,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,30,30,30,20,83-85,59,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,VH,35,40
54194,"Juan Maldonado",SP,0,0,0,0,25,188,R,R,25,35,20,35,30,25,25,35,20,35,30,25,25,35,20,35,30,25,30,40,20,45,35,25,30,35,45,25,35,35,35,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,20,20,25,80,20,40,40,40,40,25,40,40,40,40,25,45,40,40,40,25,45,45,50,40,25,96-98,50,50,60,50,0,0,0,0,30,50,0,0,0,0,0,55,0,0,0,0,45,50,0,0,0,0,0,N,N,N,N,L,VH,30,35
54195,"Seung-ryong Kim",SP,0,0,0,0,25,184,R,R,40,35,20,35,40,35,40,35,20,35,40,35,40,35,20,35,40,35,40,35,20,35,40,35,30,35,40,20,40,30,30,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,30,20,20,20,55,20,50,40,40,50,50,50,45,40,50,50,50,40,40,45,50,55,40,40,50,50,95-97,50,45,50,70,0,0,30,65,30,0,0,0,0,0,0,75,0,0,50,70,50,0,0,0,0,0,0,N,N,H,N,H,VH,40,40
54197,"Shan-tang Xue",C,204,53,28,2,25,195,R,R,45,40,50,50,45,50,45,40,50,50,45,50,45,40,50,50,45,50,45,40,50,50,45,50,30,35,45,20,25,35,30,40,55,55,0,35,25,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,25,25,25,20,40,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,25,25,30,20,84-86,38,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,L,H,N,VH,40,40
54198,"Jesus Cervantes",SP,210,202,20,4,22,192,L,L,25,25,20,25,30,25,25,25,20,25,30,25,25,25,20,25,25,25,40,30,25,35,40,40,30,25,40,20,35,25,30,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,20,20,25,60,20,40,30,30,45,30,40,30,30,45,30,40,30,30,45,35,50,45,45,45,40,93-95,52,30,70,45,0,0,40,45,20,30,0,0,0,0,0,55,0,0,55,65,30,65,0,0,0,0,0,N,N,N,N,N,A,30,35
54199,"Jesus Flores",1B,205,64,4,3,24,186,R,R,55,45,45,45,55,50,55,45,45,45,55,50,55,45,45,45,55,50,55,45,50,45,55,50,40,55,30,45,40,30,30,20,20,20,0,0,55,30,0,0,0,0,0,0,0,55,35,0,0,0,0,0,65,35,30,20,70,65,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,25,25,30,20,83-85,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,H,H,VH,40,45
54200,"Jorge Flores",1B,204,52,15,2,25,192,R,R,45,40,45,45,40,45,45,40,45,45,40,45,45,40,45,45,40,45,50,45,55,45,45,55,50,35,35,30,30,25,25,20,20,20,0,0,60,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,20,25,20,40,30,25,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,25,20,35,20,83-85,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,L,N,L,L,VH,35,45
54201,"Jorge Melchor",SP,0,0,0,0,25,188,R,R,25,30,20,30,30,25,25,30,20,30,30,25,25,30,20,30,30,25,30,30,25,40,35,25,30,30,40,25,25,30,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,35,30,20,35,70,25,45,40,35,40,30,45,40,35,40,30,45,40,35,40,30,45,40,40,40,40,92-94,54,40,65,40,0,0,45,0,45,50,0,0,0,0,0,45,0,0,50,0,45,55,0,0,0,0,0,L,H,N,N,H,VH,30,30
54202,"Lazaro Matos",C,0,0,0,0,24,177,S,R,35,25,30,40,40,30,35,25,35,40,40,30,35,25,30,35,40,30,35,25,30,40,40,30,30,25,40,20,40,20,40,40,45,55,0,30,0,0,0,0,20,0,0,0,40,0,0,0,0,30,0,0,35,50,45,50,75,20,20,20,20,30,20,20,20,20,35,20,20,20,20,30,20,20,25,25,30,20,80-83,35,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,H,L,L,VH,25,25
54203,"Juan Valverde",SP,207,82,13,3,25,192,R,R,30,30,20,30,30,25,30,30,20,30,30,25,30,30,20,30,30,30,30,30,20,30,35,25,25,35,40,25,35,25,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,20,25,20,65,25,50,35,30,50,45,50,35,30,50,45,50,35,30,50,45,60,45,40,50,45,96-98,38,40,50,75,0,30,70,50,45,0,0,0,0,0,0,80,0,45,80,75,55,0,0,0,0,0,0,L,N,N,N,N,VH,35,40
54205,"Nelson Alvarado",SS,0,0,0,0,25,187,R,R,50,40,30,45,50,45,50,40,30,45,50,45,50,40,30,45,50,45,50,40,30,45,50,50,55,45,50,50,55,45,60,20,20,20,0,0,0,0,0,35,50,35,45,0,0,0,0,0,35,60,35,55,45,60,55,60,65,50,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,30,30,35,20,83-85,45,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,H,N,VH,35,35
54206,"Benedikt Strossmayer",RP,203,34,21,2,25,197,R,R,40,30,25,45,40,40,40,30,25,45,40,40,40,30,25,45,40,40,40,30,25,45,40,40,30,30,45,20,25,25,25,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,30,30,25,30,35,20,45,40,40,45,30,45,40,40,45,30,45,40,40,45,30,50,45,45,45,35,96-98,46,50,50,55,0,0,50,50,35,0,30,0,0,0,0,60,0,0,65,70,45,0,45,0,0,0,0,H,N,N,N,N,VH,35,40
54208,"Andres Villa",LF,0,0,0,0,25,193,L,L,50,45,50,50,50,45,50,45,50,50,50,45,50,40,50,50,50,45,50,45,50,50,50,45,30,30,40,20,40,55,45,20,25,20,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,40,0,0,30,25,20,20,40,25,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,25,25,30,20,83-85,44,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,N,N,H,N,VH,40,40
54210,"Jorge Morales",RP,0,0,0,0,25,187,R,R,30,30,20,30,30,25,30,30,20,30,30,25,30,30,20,30,30,25,30,30,20,30,35,25,30,30,50,25,25,30,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,25,20,20,55,25,35,35,35,40,45,35,35,35,40,45,35,35,35,40,45,40,40,40,40,45,91-93,39,40,30,40,0,0,0,40,35,0,0,0,0,0,0,40,0,0,0,40,40,0,0,0,0,0,0,N,N,N,N,N,VH,35,35
54212,"Wilson Navarro",LF,202,16,16,1,24,188,L,L,65,50,55,45,65,60,65,55,55,45,65,60,65,50,50,45,65,60,65,50,55,45,65,60,25,25,25,20,55,45,40,20,20,20,0,0,30,0,0,0,60,0,50,0,0,30,0,0,0,60,0,50,65,75,75,75,60,65,20,25,25,30,20,20,25,25,30,20,20,25,25,30,20,20,30,30,30,20,80-83,56,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,VH,65,65
54214,"Ji-hu Hwang",SP,202,29,29,1,25,186,R,R,35,30,25,35,40,30,35,30,25,35,40,30,35,30,25,35,40,30,35,30,25,35,40,30,30,30,55,20,30,40,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,35,25,20,20,40,20,45,45,45,50,50,45,50,50,50,50,45,45,45,45,50,50,50,50,50,50,97-99,53,50,40,60,55,0,0,0,40,0,0,0,0,0,0,70,65,0,0,0,55,0,0,0,0,0,0,L,H,N,N,L,A,45,50
54215,"Jin-ho Kim",RF,203,42,2,2,25,195,L,L,50,45,45,55,50,50,50,45,45,55,50,50,45,45,45,50,45,50,50,50,50,55,50,50,35,30,25,20,55,65,55,25,25,20,0,0,0,0,0,0,60,0,55,0,0,0,0,0,0,60,0,55,70,50,35,35,45,55,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,25,20,35,20,83-85,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,N,N,N,L,A,40,45
54217,"Jesus Arzola",RP,204,53,28,2,26,186,R,L,45,30,20,35,45,45,45,30,20,35,45,45,45,30,20,40,45,45,45,30,20,35,45,45,30,35,40,20,35,35,40,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,25,25,20,80,25,50,45,45,45,50,50,45,45,45,50,50,45,45,45,50,50,45,45,45,50,94-96,52,35,80,55,0,0,0,55,50,30,0,0,0,0,0,65,0,0,0,60,50,55,0,0,0,0,0,L,H,L,H,N,VH,40,40
54218,"Luis Carranco",SP,0,0,0,0,25,185,L,R,30,30,20,35,35,25,30,30,20,35,35,25,30,30,20,35,35,20,30,30,20,35,35,25,35,25,35,20,35,25,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,25,25,20,65,20,40,45,45,40,30,45,45,45,40,30,40,45,45,35,30,45,45,45,40,30,93-95,60,40,30,50,0,0,0,45,30,0,0,0,0,0,0,50,0,0,0,50,45,0,0,0,0,0,0,H,N,H,N,N,VH,35,35
54219,"Geremia Luna",SP,0,0,0,0,25,196,L,L,30,35,25,35,35,25,30,35,25,35,35,25,30,35,25,35,35,25,30,35,25,35,35,25,30,30,45,20,35,25,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,20,20,20,70,25,45,35,30,45,40,45,35,30,45,40,45,35,30,45,40,50,35,30,45,40,93-95,45,40,75,55,0,0,60,0,40,0,35,0,0,0,0,55,0,0,60,0,50,0,40,0,0,0,0,N,N,H,L,L,VH,35,35
54222,"Juan Cienfuegos",C,0,0,0,0,26,190,R,R,40,45,40,50,40,45,40,45,40,50,40,45,40,45,40,50,40,45,40,45,45,55,40,45,35,30,40,25,30,45,30,60,40,60,0,40,20,0,0,0,0,0,0,0,50,45,0,0,0,0,0,0,40,35,35,40,40,25,20,25,25,30,20,20,25,25,30,20,20,25,25,30,20,20,30,30,30,20,80-83,61,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,N,N,N,N,VH,35,40
54223,"Edgar Guerra",CF,202,12,12,1,25,186,L,R,45,50,45,35,40,45,45,50,45,35,40,45,45,45,40,35,40,45,45,55,45,40,45,45,60,50,35,55,70,55,55,20,20,20,0,0,0,0,0,0,75,60,50,0,0,0,0,0,0,75,60,65,70,70,70,75,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,30,25,30,20,80-83,50,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,N,N,N,N,VH,40,40
54225,"Arturo Poserina",RP,0,0,0,0,25,184,R,R,35,35,20,25,35,30,35,35,20,25,35,30,35,35,20,25,35,30,40,35,25,35,40,40,30,30,45,25,50,30,45,20,25,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,20,25,20,55,20,50,40,40,45,40,50,40,40,45,40,50,40,40,45,40,55,40,40,45,45,96-98,60,30,70,60,45,0,25,0,30,0,0,0,0,0,0,75,55,0,45,0,45,0,0,0,0,0,0,N,N,N,N,N,VH,35,35
54230,"Rodolfo Aguilar",RP,211,249,1,4,21,193,R,R,25,20,20,25,20,25,25,20,20,25,20,25,25,20,20,25,20,25,45,30,20,40,40,45,30,30,30,30,35,20,25,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,20,20,20,80,20,35,20,20,40,20,35,20,20,40,20,40,20,20,40,20,50,35,30,40,20,94-96,43,30,45,45,0,0,35,0,0,0,0,0,0,0,0,60,0,0,55,0,0,0,0,0,0,0,0,H,N,N,N,N,VH,20,25
54231,"Luis Brito",SP,0,0,0,0,25,188,R,R,30,35,20,30,35,20,30,35,20,30,35,20,30,35,20,30,35,20,30,35,20,35,35,20,30,25,45,20,30,30,30,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,25,20,35,55,20,40,40,40,40,25,35,40,40,40,25,40,45,45,40,25,40,40,40,40,30,93-95,42,55,35,45,0,0,0,35,45,0,0,0,0,0,0,45,0,0,0,45,45,0,0,0,0,0,0,N,L,N,N,N,VH,30,30
54232,"Edgar Vargas",1B,0,0,0,0,24,189,R,R,45,40,30,50,50,45,45,40,30,50,50,45,45,40,30,50,50,45,45,40,30,50,50,45,50,45,50,40,35,35,45,20,20,20,0,0,65,0,0,30,0,0,0,0,0,65,0,0,30,0,0,0,45,50,50,45,35,20,20,25,20,30,20,20,25,20,30,20,20,25,20,30,20,20,30,30,30,20,84-86,61,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,L,VH,35,35
54233,"Sang-don Kim",SP,204,54,23,2,25,177,R,R,35,30,25,35,35,40,35,30,25,35,35,35,35,30,25,35,35,40,40,30,25,35,40,45,30,25,45,25,35,30,25,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,25,20,30,65,25,40,40,40,40,55,40,40,40,40,55,40,40,40,40,50,40,45,45,40,55,92-94,48,60,45,40,40,35,35,0,25,0,0,0,0,0,0,45,45,40,40,0,40,0,0,0,0,0,0,N,N,N,N,N,VH,40,40
54235,"Luis Vega",C,0,0,0,0,25,190,R,R,40,40,40,45,40,40,40,40,40,45,40,40,40,40,40,50,40,40,40,40,50,50,40,40,25,40,30,20,20,25,25,35,35,50,0,25,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,25,20,35,25,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,25,20,30,20,80-83,46,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,N,N,N,N,VH,35,35
54239,"Jesus Arenas",2B,0,0,0,0,25,193,R,R,40,30,35,35,45,25,40,30,35,35,45,25,40,30,35,35,45,25,45,30,35,40,55,30,35,50,35,50,25,55,55,20,20,20,0,0,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,55,40,25,30,45,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,35,20,25,84-86,61,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,VH,25,30
54240,"Hyo-cheol Im",RP,0,0,0,0,25,195,S,R,25,30,20,30,25,20,25,30,20,30,25,20,20,30,20,30,25,20,25,30,20,35,30,20,25,25,40,30,25,25,25,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,35,25,25,20,80,25,45,35,30,45,25,45,35,30,45,25,45,35,30,45,25,45,35,30,45,25,94-96,45,25,45,45,40,0,0,0,35,0,0,0,0,0,0,50,40,0,0,0,35,0,0,0,0,0,0,N,L,H,N,N,VH,30,30
54242,"Jesus Orozco",CF,207,195,17,3,25,191,R,R,45,40,35,50,45,45,45,40,35,45,45,45,45,40,35,50,45,45,55,45,35,50,55,55,50,30,30,30,50,65,30,20,20,20,0,0,60,0,0,0,50,30,40,0,0,60,0,0,0,50,30,40,50,50,60,60,55,25,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,30,25,35,20,80-83,48,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,VH,35,40
54243,"Jesus Villarreal",RP,0,0,0,0,25,188,R,R,20,35,20,40,25,20,20,35,20,40,25,20,20,35,20,40,25,20,20,35,20,40,25,20,35,35,50,30,30,40,30,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,25,20,20,20,55,25,45,45,45,50,40,45,45,45,50,40,45,45,45,50,40,50,45,45,50,45,94-96,48,25,45,0,0,45,0,0,35,45,45,0,0,0,0,0,0,55,0,0,40,45,45,0,0,0,0,N,L,N,N,N,VH,35,35
